"AA9_1"	"AA9_2"	"AA9_3"	"DMSO_1"	"DMSO_2"	"DMSO_3"
"ENSG00000270330"	0	0	0	0	0	0
"ENSG00000116288"	3424	2318	3927	3333	3039	3236
"ENSG00000200344"	6	5	6	5	3	2
"ENSG00000116285"	6539	4784	7142	10477	12010	10909
"ENSG00000238290"	38	16	26	29	41	55
"ENSG00000232848"	0	4	1	3	2	6
"ENSG00000229305"	2	0	1	0	0	2
"ENSG00000200975"	0	0	0	0	0	0
"ENSG00000227634"	0	0	0	0	3	0
"ENSG00000233645"	0	0	2	0	0	2
"ENSG00000251977"	0	0	0	0	0	0
"ENSG00000162426"	67	42	87	102	95	108
"ENSG00000252254"	0	1	0	0	0	0
"ENSG00000142599"	3976	2677	4361	3939	3407	3645
"ENSG00000232912"	4	2	0	7	12	5
"ENSG00000221083"	0	0	0	0	0	0
"ENSG00000270282"	1	0	0	0	0	0
"ENSG00000234619"	2	3	3	9	2	0
"ENSG00000224315"	8	2	0	4	3	2
"ENSG00000222511"	2	0	0	0	0	0
"ENSG00000226545"	0	0	0	0	0	2
"ENSG00000228423"	0	0	0	2	2	1
"ENSG00000229716"	0	0	0	0	4	0
"ENSG00000074800"	49849	41540	59422	66185	78032	73094
"ENSG00000274258"	0	1	0	2	4	4
"ENSG00000236269"	50	70	76	127	184	157
"ENSG00000230679"	17	1	18	9	11	8
"ENSG00000201725"	0	0	0	0	0	0
"ENSG00000238249"	15	18	27	25	17	11
"ENSG00000232208"	55	28	40	58	37	23
"ENSG00000232663"	0	0	0	0	0	0
"ENSG00000131686"	0	0	4	2	2	0
"ENSG00000265141"	0	0	0	0	0	0
"ENSG00000197241"	2	2	4	2	4	3
"ENSG00000142583"	0	0	2	0	0	2
"ENSG00000252404"	0	0	0	0	0	0
"ENSG00000180758"	311	252	360	304	288	259
"ENSG00000207865"	0	0	0	0	0	0
"ENSG00000228526"	0	0	0	0	0	0
"ENSG00000234546"	2	0	1	4	0	4
"ENSG00000049239"	4746	3134	4957	4605	4207	4236
"ENSG00000171621"	684	488	689	688	639	650
